RendaCapita	Adol2grau	AdultoSuperior	AdolAnalfa	AdultosAnalfa	Fecun	Morte1ano
60.38	7.75	0.17	17.11	54.72	3.33	55.3
93.48	9.42	1.19	19.23	52.17	3.04	38.83
82.87	3.7	1.03	14.21	47.79	3.44	43.62
83.42	9.21	0.76	13.9	53.31	2.9	67.95
68.8	11.04	0.04	6.14	41.1	3.41	51.53
56.19	2.96	0.24	16.25	57.24	2.89	54.49
81.51	8.28	0.69	12.34	44.96	3.09	47.95
75.58	7.72	0.37	9.98	41.7	3.07	52.82
97.8	11.22	0.24	5.93	43.09	2.39	39.12
65.29	8.58	0.18	15.24	52.3	3.6	63.81
75.98	6.7	0.95	16.37	58.07	2.68	69.71
68.25	6.67	0.41	14.42	52.25	2.95	67.58
90.66	13.14	1.53	10.09	45.58	3.37	47.4
58.11	5.6	0.11	8.24	48.1	2.46	59.52
86.96	16.02	0.34	7.43	38.3	3.47	68.74
74.99	7.5	0.24	14.92	50.19	3.92	69.03
82.45	9.22	0.17	5.8	36.76	3.49	55.49
70.47	10.59	1.17	8.77	44.22	3.94	77.91
72.46	9.1	0.63	13.52	43.86	3.72	55.7
72.94	6.78	0.55	12.83	53.35	2.93	40.58
76.99	8.24	0.16	5.98	45.4	3.6	58.76
68.17	3.9	1.17	13.09	49.16	3.23	60.68
61.78	11.85	0.02	8.28	48.11	3.07	52.88
89.69	17.39	0.17	8.81	34.88	3.21	59.7
114.37	20.31	1.05	6.24	25.72	2.11	34.54
84.6	12.34	0.72	11.2	53.26	2.93	49.8
73.53	13.55	0.32	17.87	54.43	2.44	52.95
57.98	5.85	0.47	9.58	52.74	2.96	67.52
66.01	5.62	0.3	14.52	45.37	2.4	42.22
116.3	16.94	1.13	3.5	27.23	2.85	32.31
76.41	7.89	0.23	7.53	44.15	2.68	66.49
80.07	12.31	0.57	7.77	41.95	2.64	31.6
86.63	8.04	0.55	11.95	43.93	3	73.35
91.04	10.88	0.79	8.36	38.56	3	59.7
85.59	13.38	0.36	10.76	52.18	2.93	47.4
102.57	13.57	0.61	13.5	43.16	2.64	32.57
90.69	13.38	0.48	15.92	45.06	2.61	48.6
82.02	7.86	0.62	10.33	38.88	2.95	51.45
100.45	17.21	0.13	5.48	24.85	3.03	38.73
302.76	25.28	7.6	4.92	17.69	2.13	34.54
76.1	8.55	0.15	8.25	46.35	2.66	67.52
71.1	8.45	0.55	10.51	47.9	2.38	55.44
61.36	4.75	0.54	15.93	57.36	4.26	61.77
42.16	4.07	0.53	20.11	61.62	4.66	77.91
72.5	12.7	0.78	11.7	49.27	2.83	64.06
148.4	18.44	1.91	4.79	32.56	2.35	37.3
64.28	3.89	0.14	14.68	52.33	2.24	72.35
73.5	11.21	0.07	15.26	52.56	3.58	68.17
73.48	9.08	0.41	12.85	46.14	3.16	52.82
226.09	30.83	5.41	4.46	19.86	2.25	47.76
65.19	3.56	0.22	30.88	65.85	3.88	71.21
83.44	10.94	0.75	3.89	35.37	3.15	51.07
77.08	9.03	0.35	10.65	49.05	4.55	43.55
48.17	1.33	0.26	21.59	66.33	3.93	67.58
71.81	6.77	0.47	23.03	52.05	3.33	70.92
111.39	18.54	1.68	7.17	37.12	2.64	32.57
83.98	14.03	0.52	3.42	34.52	2.64	56.8
77.87	14.6	0.42	16.41	47.73	2.86	42.22
80.44	8.76	0.44	8.47	45.72	2.42	55.09
98.57	6.39	0.81	10.37	45.7	3.3	47.59
82.22	11.55	0.77	11.01	39.81	2.84	37.3
84.53	9.57	1.71	16.45	46.92	2.29	50.67
88.06	26.84	0.4	3.78	31.39	2.81	47.11
75.37	9.08	0.23	14.62	50.7	3.26	73.74
87.22	9.11	0.47	6.01	41.77	2.71	66.64
72.07	6.85	0.37	12.87	54.24	3.68	64.76
86.42	7.18	0.9	9.25	49.65	3.23	65.36
68.64	3.4	0.2	15.83	58.4	2.8	69.01
51.59	2.43	0.22	24.84	65.06	3.36	71.21
61.71	5.62	0.13	10.32	47.57	3.31	46.06
48.47	1.04	0.34	14.12	59.7	2.87	69.71
69.25	9.6	1.6	10.62	45.82	3.74	67.59
62.83	8.93	0.53	12.62	46.26	2.83	61.18
61.2	5.06	0.35	12.34	58.96	4.33	60.83
79.05	6.43	0.08	11.84	49.97	3.35	67.95
60.57	7.21	0.13	15.67	48.89	2.98	62.53
105.47	13.38	1.08	9.9	38.41	3.02	43.64
65.11	10.04	0.79	11.44	50.23	3.13	68.43
89.84	14.44	0.25	5.33	37.73	2.41	58.76
53.81	5.02	0.02	19.68	49.41	3.74	84.29
128.76	18.57	2.43	8.73	34.85	2.22	43.64
71.5	10.64	0.28	17.94	56.18	3.37	68.17
96.22	18.31	0.54	3.3	33.01	2.77	51.53
69.71	11.75	0.14	17.86	52.18	2.58	46.06
71.4	8.38	0.66	13.02	47.02	2.29	44.55
52.01	4.62	0.43	7.89	48.05	4.24	77.91
85.15	14.23	0.74	13.41	48.28	3.64	68.17
103.69	21.26	1.21	11.24	39.97	2.49	57.35
106.13	16.7	2.09	8.38	33.43	2.27	58.65
83.05	4.27	0.53	20.82	56.3	3.01	55.7
61.2	6.13	0.6	19.09	54.88	2.97	76.1
68.8	6.53	0.6	16.89	52.8	3.63	71.21
87.8	13.23	0.45	11.11	44.71	2.49	48.6
334.69	35.83	8.6	3.36	14.03	1.93	40.4
81.17	11.78	0.58	16.17	52.86	2.78	68.17
76.15	8.81	0.38	9.22	39.34	2.98	67.22
78.01	18.95	0.38	6.12	39.09	3.1	66.31
76.44	9.63	0.31	19.1	55.62	3.36	83.45
62.82	8.62	0.24	9.62	48.53	3.84	67.59
70.68	5.79	0.05	13.53	50.01	2.52	52.95
69.79	6.59	0.17	11.29	48.05	3.04	67.87
110.09	15.01	1.95	8.43	36.95	2.6	65.11
62.7	4.67	0.17	8.61	46.54	2.42	46.66
61.12	11.84	0.06	7.07	36.53	3.56	62.07
72.61	8.86	0.2	12.93	48.89	3.36	83.85
80.05	11.06	0.55	12.67	43.51	3.53	47.59
100.56	13.29	0.07	8.93	42.67	2.39	54.16
99.26	9.58	1.21	21.16	44.04	2.94	69.01
61.12	6.93	0.58	15.49	53.86	4.24	67.18
52.67	3	0.14	25.63	56.85	3.93	71.21
88.77	9.74	0.48	9.63	55.87	2.82	69.04
88.46	11.24	0.72	12.37	46.72	2.62	60.91
77.71	7.15	0.34	12.12	52.95	2.85	65.11
75.59	3.24	0.19	11.15	45.9	3.41	69.01
68.1	4.9	0.57	8.12	49.84	2.75	55.93
64.61	2.25	0.13	20.68	61	2.52	48.6
61.41	4.73	0.46	8.29	49.64	4.51	77.91
62.26	6.79	0.04	12.8	46.9	2.46	57.53
65.04	8.43	0.62	14.6	52.34	3.4	76.1
76.76	18.35	0.15	5.19	41.67	2.71	68.74
